id;Type;nom;description;adresse;cp;commune;web;GPS;email;tel;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;Gratuit/payant;Ouvert/fermé;covid
PAN003;Ferme pédagogique;Parc animalier Hi Han;Le parc propose aux enfants de découvrir, toucher, nourrir des ânes, poneys, moutons, chèvres, cochons, canards, dindes, dindons, oies, poules, coqs…;Avenue Joseph Bodin de Boismortier;77680.0;Roissy-en-Brie;http://association.hihan.free.fr/;48.806104, 2.636306;association.hihan@gmail.com;01 60 28 49 00;Fermé;14h-18h;14h-18h;14h-18h;14h-18h;14h-18h;14h-18h;Payant;Ouvert;Le parc est rouvert depuis le 6 juin. Capacité d’accueil limitée
PAN019;Aquarium;Aquarium Tropical;L'aquarium présente une importante collection de poissons d'eau douce tropicale et d'eau de mer, des tortues, des crocodiles et des alligators.;293 avenue Daumesnil;75012.0;Paris;https://www.aquarium-tropical.fr/;48.835067, 2.409182;;;;;;;;;;Payant;Fermé;Fermeture de l'aquarium pour travaux jusqu'au 9 mars 2021.
PAN020;Aquarium;Aquarium de Paris;Dans les jardins du Trocadéro, en plein cœur de Paris, l’Aquarium de Paris propose de découvrir près de 13.000 poissons et invertébrés de toutes les mers de France métropolitaine et outre-mer, dont 38 grands requins, 2500 méduses et 700 colonies de coraux.;5 Avenue Albert de Mun;75016.0;Paris;https://www.aquariumdeparis.com/;48.862321, 2.290981;info@cineaqua.com;;10h-19h;10h-19h;10h-19h;10h-19h;10h-19h;10h-22h;10h-19h;Payant;Ouvert;L'Aquarium a rouvert ses portes le 22 juin. Attention l’achat de billets se fait exclusivement en ligne.
PAN021;Aquarium;Musée Aquarium de la Seine;Le Musée-Aquarium de la Seine propose à ses visiteurs de découvrir la vie des poissons d’eau douce et l’écosystème aquatique francilien.;22 Allée Claude Monet;92300.0;Levallois-Perret;http://www.maisonpechenature.fr/;48.898671, 2.275444;infos@maisonpechenature.fr;01 47 57 17 32;Fermé;Fermé;10h-13h et  14h-18h;Fermé;Fermé;13h-18h;13h-18h;Payant;Ouvert;Le Musée-aquarium a rouvert ses portes le 3 juin.  Son accès est limité à 15 visiteurs en même temps.
PAN027;Ferme pédagogique;Ferme pédagogique de Neuilly sur Marne;Cette ferme pédagogique réjouira les petits comme les grands !  Ane, vache et veau, chèvres, moutons, volailles, canards, lapins et tant d’autres animaux vous attendent à la mini-ferme.;Rue Albert Camus;93330.0;Neuilly-sur-Marne;https://www.neuillysurmarne.fr/votre-ville/decouvrir-neuilly/les-parcs-et-squares/la-mini-ferme/;48.862836, 2.5405;;01 49 44 63 40;Fermé;Fermé;Fermé;Fermé;Fermé;14h18h;14h18h;Gratuit;Ouvert;La ferme a rouvert ses portes le 30 mai.
PAN001;Zoo;Parc animalier de Janvry;Six hectares de verdure, un parc avec plus d’une centaine d’animaux (lamas, dromadaires, chèvres, lapins…)  et une aire de jeux et de pique-nique.;Bois de Montmarre;91640.0;Janvry;https://janvry.fr/le-parc-animalier-de-janvry/;48.646425, 2.153162;;‭01 64 90 51 63;8h-20h;8h-20h;8h-20h;8h-20h;8h-20h;8h-20h;8h-20h;Gratuit;Ouvert;Le Parc est rouvert depuis le 20 mai. L'accès à l'aire de jeux est interdit pour le moment.
PAN008;Volière;La Serre aux Papillons;La serre  est la sortie en famille pour admirer des papillons dans une jungle équatoriale.  Des ateliers sont proposés pour les enfants.;1 avenue des platanes;78940.0;La Queue-lez-Yvelines;https://www.serreauxpapillons.com/;48.805268, 1.778467;contact@serreauxpapillons.com;01 34 86 67 55;9h30-12h30 14h30-18h;9h30-12h30 14h30-18h;9h30-12h30 14h30-18h;9h30-12h30 14h30-18h;9h30-18h;9h30-18h;9h30-18h;Payant;Ouvert;La Serre aux Papillons est de nouveau ouverte.
PAN011;Zoo;La Ménagerie, le zoo du Jardin des Plantes;La Ménagerie est un vaste espace arboré de plusieurs hectares où la nature est partout présente. Les enclos et les bâtiments où sont logés les quelques 600 animaux, se découvrent au détour des allées, selon un libre parcours.;57 Rue Cuvier;75005.0;Paris;https://www.jardindesplantesdeparis.fr/fr/programme/galeries-jardins-zoo-bibliotheques/menagerie-zoo-jardin-plantes-2765;48.844306, 2.360409;;01 40 79 56 01;9h-18h;9h-18h;9h-18h;9h-18h;9h-18h;9h-18h;9h-18h30;Payant;Ouvert;La Ménagerie a rouvert le 8 juin. Les achats ou réservations de visites se font obligatoirement et exclusivement en ligne, même pour les billets gratuits.
PAN014;Ferme pédagogique;Ferme de Paris;Située dans le bois de Vincennes, la Ferme de Paris est une exploitation de 5 hectares, gérée dans le respect de l’environnement. Elle présente des cultures et élevages traditionnels de la région d'Île-de-France.;1 route du Pesage;75012.0;Paris;https://www.paris.fr/equipements/ferme-de-paris-6597;48.822368, 2.444719;lafermedeparis@paris.fr;;Fermé;13h30-17h;13h30-17h;13h30-17h;13h30-17h;13h30-18h;13h30-18h;Gratuit;Ouvert;La Ferme a rouvert ses portes le 6 juin.
PAN024;Ferme pédagogique;Ferme Ouverte de Sartrouville;"La Ferme propose de découvrir les moutons, chèvres naines alpines connues pour leur tendresse, le cheval Aqua de 850 kilos ainsi que les porcs laineux ""Mangaliza"", et également des lapins, ânes & cochons.";33 Rue de Chatou;78500.0;Sartrouville;https://www.lesfermesdegally.com/la-ferme-ouverte-sartrouville/la-ferme-ouverte-sartrouville;48.941123, 2.188894;;01 61 04 19 54;10h-12h30 et 14h-18h30;10h-12h30 et 14h-18h30;10h-12h30 et 14h-18h30;10h-12h30 et 14h-18h30;10h-12h30 et 14h-18h30;10h-12h30 et 14h-18h30;10h-12h30 et 14h-18h30;Payant;Ouvert;La Ferme a rouvert fin mai. Pour la sécurité de tous, la visite se fait sous forme de circuit en sens unique et la fréquentation est limitée. Il est donc  recommandé de réserver en ligne.
PAN009;Ferme pédagogique;Ferme pédagogique animalière Edentara;"Ce petit parc animalier à taille humaine de 5 hectares présente 150 animaux exotiques de quarante  espèces différentes. Des stages ""apprentis soigneurs"" sont organisés en juillet et en août.";12 Route de Trilport;77440.0;Isles-les-Meldeuses;https://www.edentara.fr/;48.997931, 3.002998;fc.edentara@wanadoo.fr;01 64 35 98 84;10h-12h;10h-12h;10h-12h;10h-12h;9h-12h;Fermé;Fermé;Payant;Ouvert;La Ferme sera ouverte certains dimanches : 21 juin, 5 juillet, 2 août et 6 septembre de 14h à 18h.
