id;cp;pop;address;city;automate_24_24;timetable;fuel;shortage;update;price_gazole;price_sp95;price_sp98;price_gplc;price_e10;price_e85;services;brand;name;geo_point
75016011;75116;R;69 Avenue Kléber;PARIS;;;Gazole;E10,GPLc,E85;2023-09-14T05:13:00+00:00;0.00259;0.00267;0.00269;;;;;Elan;Sarl STATION KLEBER;48.86517, 2.28893
77100008;77100;R;AV PRESIDENT SALVADOR ALLENDE;MEAUX;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole,E10,SP98;SP95;2024-01-26T10:07:00+00:00;0.001776;;0.001869;;0.001789;;;Esso Express;ESSO PARIS METZ;48.95707, 2.8846
77500008;77500;R;20 Avenue de Claye;CHELLES;Oui;"{""Dimanche"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Jeudi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Lundi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Mardi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Mercredi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Samedi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""07.00""}, ""Vendredi"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}}";Gazole,E10,SP98;;2024-01-26T15:20:00+00:00;0.001839;;0.0019690000000000003;0.001049;0.001849;;Boutique alimentaire,Boutique non alimentaire,Station de gonflage,Carburant additivé,Lavage automatique,Vente de gaz domestique (Butane, Propane);BP;BP CHELLES MONT CHALAS;48.89956, 2.61439
77820003;77820;R;5 rue des Grands Champs;LE CHÂTELET-EN-BRIE;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";E10,SP98;E85,GPLc;2024-01-25T07:26:39+00:00;0.001759;0.0018089999999999998;0.001839;;0.001769;;Vente de pétrole lampant,Station de gonflage,Location de véhicule,Piste poids lourds,Lavage automatique,Lavage manuel,Vente de gaz domestique (Butane, Propane),Bornes électriques,DAB (Distributeur automatique de billets);Leclerc;E.LECLERC;48.49158, 2.79575
78000005;78000;R;50 Rue du Pont Colbert;VERSAILLES;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";E85;SP95;2024-01-26T10:07:00+00:00;0.001784;;0.0018919999999999998;;0.001812;0.00098;;Esso Express;ESSO PONT COLBERT;48.78799, 2.14989
78260001;78260;R;3 avenue Wolfgang Amadeus Mozart;ACHERES;Non;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""fermeture"": ""14.00"", ""ouvert"": 1, ""ouverture"": ""08.30""}, ""Vendredi"": {""fermeture"": ""14.00"", ""ouvert"": 1, ""ouverture"": ""08.30""}}";SP98;GPLc,SP95;2024-01-25T08:19:39+00:00;0.0017749999999999999;;0.001849;;0.001779;0.000875;Toilettes publiques,Laverie,Relais colis,Boutique alimentaire,Boutique non alimentaire,Restauration sur place,Vente de fioul domestique,Vente de pétrole lampant,Station de gonflage,Carburant additivé,Location de véhicule,Vente de gaz domestique (Butane, Propane),Bornes électriques,Vente d'additifs carburants,Automate CB 24,24,DAB (Distributeur automatique de billets);Leclerc;ACHERES EXPANSION;48.9619454188, 2.05918491163
78450001;78450;R;Avenue Nagelmackers.;VILLEPREUX;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";SP98;GPLc,SP95;2024-01-25T11:58:38+00:00;0.0018089999999999998;;0.001909;;0.001839;0.001199;Vente de gaz domestique (Butane, Propane);Carrefour Market;Carrefour Market;48.8191169056, 2.003527838
91150005;91150;R;AV DE BONNEVAUX;ÉTAMPES;Non;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";SP98;GPLc;2024-01-25T10:17:52+00:00;0.001756;0.0018369999999999999;0.0018720000000000002;;0.001803;0.0008489999999999999;Location de véhicule,Vente de gaz domestique (Butane, Propane),Automate CB 24,24,DAB (Distributeur automatique de billets);Carrefour;CARREFOUR ETAMPES;48.42437, 2.16218
91370001;91370;R;BD DU MARECHAL JUIN;VERRIÈRES-LE-BUISSON;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole,E85,E10,SP98;SP95;2024-01-26T10:06:00+00:00;0.001797;;0.0018939999999999999;;0.001814;0.0008990000000000001;;Esso Express;ESSO VERRIERES;48.7528, 2.27251
92000015;92000;R;93 Avenue Vladimir Illitch Lénine;NANTERRE;Oui;"{""Dimanche"": {""fermeture"": ""21.00"", ""ouvert"": 1, ""ouverture"": ""08.00""}, ""Jeudi"": {""fermeture"": ""22.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Lundi"": {""fermeture"": ""22.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Mardi"": {""fermeture"": ""22.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Mercredi"": {""fermeture"": ""22.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}, ""Samedi"": {""fermeture"": ""22.00"", ""ouvert"": 1, ""ouverture"": ""07.00""}, ""Vendredi"": {""fermeture"": ""22.00"", ""ouvert"": 1, ""ouverture"": ""06.00""}}";Gazole,E10,SP98;;2024-01-26T12:05:00+00:00;0.001889;;0.002029;;0.001909;0.000959;Boutique alimentaire,Boutique non alimentaire,Station de gonflage,Carburant additivé,Lavage automatique,Vente de gaz domestique (Butane, Propane);BP;BP NANTERRE LENINE;48.88777, 2.18782
92600007;92600;R;96 Avenue d'Argenteuil;ASNIÈRES-SUR-SEINE;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole,E10,SP98;;2024-01-19T16:10:00+00:00;0.0019590000000000002;;0.002059;;0.0019590000000000002;;Toilettes publiques,Boutique alimentaire,Boutique non alimentaire,Station de gonflage,Carburant additivé,Vente de gaz domestique (Butane, Propane);BP;BP ASNIERES ARGENTEUIL 8 à Huit;48.91459, 2.28328
93140003;93140;R;205 Avenue Gallieni;BONDY;Oui;"{""Dimanche"": {""ouvert"": 1}, ""Jeudi"": {""ouvert"": 1}, ""Lundi"": {""ouvert"": 1}, ""Mardi"": {""ouvert"": 1}, ""Mercredi"": {""ouvert"": 1}, ""Samedi"": {""ouvert"": 1}, ""Vendredi"": {""ouvert"": 1}}";Gazole,E10,SP98;SP95;2024-01-26T10:06:00+00:00;0.001807;;0.001906;;0.0018260000000000001;;;Esso Express;ESSO GALLIENI;48.9073, 2.48921
